2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:31 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:43 | 📋 总共加载 10 个交易员配置
